site_name,bottle,NRRI_id,voltage,carbon,time,day,replicate,constituent,parameter,result_value,unit
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC892BG,V1A1T0R3,TRUE,TRUE,T0,0,3,STHG,Hg201,22.37513244,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC893BG,V1A1T1R1,TRUE,TRUE,T1,1,1,STHG,Hg201,29.80550329,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC894BG,V1A1T1R2,TRUE,TRUE,T1,1,2,STHG,Hg201,35.37246896,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC895BG,V1A1T1R3,TRUE,TRUE,T1,1,3,STHG,Hg201,26.16375861,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC896BG,V1A1T2R1,TRUE,TRUE,Tf,14,1,STHG,Hg201,49.12417458,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC897BG,V1A1T2R2,TRUE,TRUE,Tf,14,2,STHG,Hg201,44.32573852,NG/G
"NRRI SED, VOLTAGE AND ACTIVATED CARBON",MSC898BG,V1A1T2R3,TRUE,TRUE,Tf,14,3,STHG,Hg201,20.46845692,NG/G
"NRRI SED, CONTROL",MSC863BG,V0A0T0R1,FALSE,FALSE,T0,0,1,SMHG,Hg204,0.227247659,NG/G
"NRRI SED, CONTROL",MSC864BG,V0A0T0R2,FALSE,FALSE,T0,0,2,SMHG,Hg204,0.259337971,NG/G
"NRRI SED, CONTROL",MSC865BG,V0A0T0R3,FALSE,FALSE,T0,0,3,SMHG,Hg204,0.280465351,NG/G
"NRRI SED, CONTROL",MSC866BG,V0A0T1R1,FALSE,FALSE,T1,1,1,SMHG,Hg204,0.190645496,NG/G
"NRRI SED, CONTROL",MSC867BG,V0A0T1R2,FALSE,FALSE,T1,1,2,SMHG,Hg204,0.224451933,NG/G
"NRRI SED, CONTROL",MSC868BG,V0A0T1R3,FALSE,FALSE,T1,1,3,SMHG,Hg204,0.157105587,NG/G
"NRRI SED, CONTROL",MSC869BG,V0A0T2R1,FALSE,FALSE,Tf,14,1,SMHG,Hg204,0.178344037,NG/G
"NRRI SED, CONTROL",MSC870BG,V0A0T2R2,FALSE,FALSE,Tf,14,2,SMHG,Hg204,0.26351824,NG/G
